codigo,quantidade,preco_medio,valor_total,preco_atual,valor_atual
BBAS3,258,33.4,8617.199999999999,32.310001373291016,8335.980354309082
BBPO11,18,141.88,2553.84,163.35000610351562,2940.3001098632812
BCFF11,30,80.46,2413.8,89.9000015258789,2697.000045776367
HGLG11,2,177.44,354.88,189.24000549316406,378.4800109863281
ITSA4,346,9.36,3238.56,9.720000267028809,3363.120092391968
TAEE4,189,9.24,1746.36,9.449999809265137,1786.0499639511108
